Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;Bullish;#27W7H;130;-252;600;;5cfd74ad988f3ff2ebc65e08;0213512;2019-07-19 00:58;NL Hold'em;2;
2;Real Minjae;#WPEHN;260;-400;400;;;;;;;
3;new minjae;#1S8W8;235;229;402;;;;;;;
4;moby dick;#N24XP;206;20;600;;;;;;;
5;Durrrrrr;#SXRVS;284;14;400;;;;;;;
6;themilkachoc;#PGRK1;225;1099;800;;;;;;;
7;dogplayer1;#VSVHC;124;639;1200;;;;;;;
8;IHAVEIT;#NXAZ3;208;-750;750;;;;;;;
9;Geetio;#6ACX7;182;750;600;;;;;;;
10;LinusFangirl2019;#DV419;122;-395;1200;;;;;;;
11;Fibonacci666;#JU9BW;89;-386;1000;;;;;;;
12;DukeKeith;#8NNB0;96;-562;800;;;;;;;
13;Eddie;#M28TN;15;-6;200;;;;;;;
