Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;Runnerunner;#CJ8XJ;159;851;800;;5cfd74ad988f3ff2ebc65e08;2782828;2019-07-17 23:44;NL Hold'em;2;
2;í ½íº€í ½íº€í ½íº€í ½íº€;#1S8W8;258;51;603;;;;;;;
3;shocka;#AU0T6;152;9;200;;;;;;;
4;í ½í°Ÿí ½í°Ÿí ½í°Ÿí ½í°Ÿ;#WPEHN;297;2670;1003;;;;;;;
5;Durrrrrr;#SXRVS;189;-124;400;;;;;;;
6;MADMAN;#NXAZ3;318;-2680;3747;;;;;;;
7;Bullish;#27W7H;13;10;200;;;;;;;
8;moby dick;#N24XP;279;130;900;;;;;;;
9;ming l33;#FV0CJ;272;-627;700;;;;;;;
10;Geetio;#6ACX7;82;-600;600;;;;;;;
11;dogplayer1;#VSVHC;105;-426;1687;;;;;;;
12;themilkachoc;#PGRK1;107;123;600;;;;;;;
13;LinusFangirl2019;#DV419;148;509;600;;;;;;;
14;Eddie;#M28TN;102;121;250;;;;;;;
15;DukeKeith;#8NNB0;140;-17;800;;;;;;;
