Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;shocka;#AU0T6;144;-113;400;;5cfd74ad988f3ff2ebc65e08;7906015;2019-07-16 22:50;NL Hold'em;2;
2;themilkachoc;#PGRK1;210;-260;1100;;;;;;;
3;Bullish;#27W7H;288;-1183;1800;;;;;;;
4;í ½í°Ÿí ½í°Ÿí ½í°Ÿí ½í°Ÿ;#WPEHN;475;783;500;;;;;;;
5;LinusFangirl2019;#DV419;300;233;1075;;;;;;;
6;moby dick;#N24XP;86;770;300;;;;;;;
7;Eddie;#M28TN;354;709;350;;;;;;;
8;DukeKeith;#8NNB0;361;973;1000;;;;;;;
9;ming l33;#FV0CJ;233;228;400;;;;;;;
10;í ½íº€í ½íº€í ½íº€í ½íº€;#1S8W8;183;810;300;;;;;;;
11;MADMAN;#NXAZ3;353;-2356;3200;;;;;;;
12;Durrrrrr;#SXRVS;316;-914;1300;;;;;;;
13;Fibonacci666;#JU9BW;18;5;200;;;;;;;
14;Geetio;#6ACX7;72;453;600;;;;;;;
15;George Triandafyllides;#RE1D5;54;-762;1500;;;;;;;
16;dogplayer1;#VSVHC;99;402;863;;;;;;;
17;Runnerunner;#CJ8XJ;132;222;200;;;;;;;
